Subject,Age,Sex
A00037368,12,1
A00040827,18,2
A00043466,19,1
A00043649,22,1
A00035881,24,2
A00040248,77,2
A00044344,63,2
A00031166,21,1
A00037375,55,1
A00044370,56,2
A00039856,83,2
A00028678,69,1
A00041505,44,2
A00038414,60,2
A00035588,24,1
A00039432,59,2
A00040174,48,2
A00040992,9,1
A00035377,15,2
A00035378,54,2
A00040874,34,2
A00039218,26,1
A00051023,54,2
A00037115,48,2
A00029076,20,1
A00039084,27,2
A00043240,15,2
A00023510,23,1
A00040462,47,2
A00039168,50,1
A00039819,24,1
A00041557,9,1
A00028399,53,1
A00039951,42,1
A00040285,68,1
A00035606,48,2
A00029219,77,1
A00035941,14,2
A00033963,66,2
A00037160,18,1
A00034074,17,2
A00028266,65,2
A00040116,50,2
A00030912,62,2
A00039974,60,2
A00037817,55,2
A00044344,63,2
A00033180,18,2
A00031607,42,2
A00040461,52,2
A00039461,45,1
A00038411,44,2
A00040104,67,2
A00037377,49,2
A00029303,19,2
A00039500,45,2
A00037767,54,2
A00031216,18,2
A00035926,21,1
A00044291,24,2
A00039636,23,1
A00040525,43,2
A00029127,23,1
A00041540,46,2
A00039393,49,2
A00035292,11,1
A00035440,62,2
A00040351,75,2
A00037818,74,1
A00034073,16,1
A00044427,75,2
A00037439,53,1
A00039083,79,2
A00040915,21,1
A00039845,72,2
A00028929,63,2
A00043617,47,2
A00033247,22,1
A00028995,49,2
A00043417,53,2
A00038806,62,2
A00037646,53,2
A00028271,61,1
A00029215,54,2
A00043722,28,1
A00044011,44,2
A00039593,66,2
A00039758,66,1
A00039490,71,2
A00050720,40,2
A00029473,71,2
A00050721,46,2
A00040990,42,2
A00028177,24,2
A00027439,15,1
A00035054,81,1
A00037459,13,1
A00038831,23,1
A00028150,44,2
A00044084,17,2
A00050912,53,2
A00038603,8,2
A00037877,19,2
A00039040,83,2
A00043450,22,2
A00037386,57,2
A00043762,53,2
A00029104,44,2
A00037848,32,1
A00044100,54,2
A00039686,21,2
A00028340,75,2
A00032876,60,2
A00028152,51,1
A00037396,31,2
A00039353,52,2
A00008399,23,1
A00031794,63,2
A00040440,8,2
A00040757,49,2
A00037511,31,1
A00028185,26,1
A00008326,59,2
A00038213,21,2
A00044408,82,2
A00039639,71,1
A00037725,30,1
A00043283,44,1
A00039276,58,2
A00039895,50,2
A00028207,26,2
A00027159,11,1
A00043462,21,1
A00040556,9,1
A00035337,81,2
A00038159,18,1
A00037119,45,1
A00028468,46,1
A00035744,49,2
A00039143,24,2
A00039559,66,1
A00028613,64,2
A00033609,47,1
A00050795,22,1
A00039257,55,2
A00038115,38,2
A00038519,78,2
A00038642,28,1
A00039488,27,1
A00033673,66,2
A00028352,23,2
A00040500,51,2
A00034987,42,2
A00034400,59,2
A00033643,26,1
A00028845,76,1
A00029126,34,1
A00037458,16,2
A00031605,39,2
A00037081,35,2
A00029075,71,1
A00018030,11,2
A00028871,40,2
A00039640,68,2
A00035076,73,1
A00039755,22,2
A00031217,18,1
A00028844,19,1
A00040594,51,1
A00039635,53,2
A00019903,83,1
A00040055,59,2
A00050977,71,2
A00039277,27,2
A00039685,50,1
A00050742,53,2
A00034193,27,2
A00039966,69,2
A00040784,60,2
A00040581,6,2
A00028429,20,2
A00030981,14,2
A00041049,58,2
A00043282,16,2
A00043383,49,2
A00031881,15,1
A00050911,66,2
A00034093,75,1
A00044410,71,2
A00044217,9,1
A00040257,70,2
A00037726,56,2
A00028912,67,1
A00039118,49,2
A00044307,21,1
A00040439,58,2
A00044130,22,2
